건물명,물건금액(만원)
PH129,1725000.0
청담빌라(95),1500000.0
나인원한남,1434000.0
아크로서울포레스트,1140000.0
효성빌라청담101(B동),1130000.0
월드타워빌딩,1050000.0
"현대2차(10,11,20,23,24,25동)",917178.5714285715
신현대11차,916666.6666666666
상지리츠빌카일룸(65-4),910000.0
한남더힐,904714.2857142857
갤러리아포레,885000.0
"현대7차(73~77,82,85동)",864636.3636363636
롯데월드타워앤드롯데월드몰,832806.5882352941
"현대6차(78~81,83,84,86,87동)",813153.8461538461
한양8(81동한개동),811666.6666666666
신현대12차,789823.5294117647
"현대1차(12,13,21,22,31,32,33동)",787727.2727272727
한남리버힐(A),776666.6666666666
효성빌라청담101(2차),753380.0
압구정하이츠파크,713500.0
